artist,song,duration_ms,explicit,year,popularity,key,tempo,genre
Musiq Soulchild,Halfcrazy,254493,FALSE,2002,58,11,101.955,"pop, R&B"
Sean Paul,Gimme the Light,228000,TRUE,2002,59,2,107.288,"hip hop, pop"
Faith Evans,I Love You,267160,FALSE,2001,53,11,168.004,"hip hop, pop, R&B"
Charli Baltimore,Down 4 U,318213,TRUE,2002,47,7,83.133,pop
Kylie Minogue,Love at First Sight,238266,FALSE,2001,55,3,124.994,"pop, Dance/Electronic"
N.O.R.E.,Nothin',264653,TRUE,2002,58,3,97.035,"hip hop, pop"
Gareth Gates,Unchained Melody,233666,FALSE,2003,35,10,106.52,pop
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],268800,FALSE,2005,63,6,89.279,"hip hop, pop"
Big Brovaz,Nu Flow,201480,FALSE,2001,45,7,148.062,pop
No Doubt,Hey Baby,207040,FALSE,2001,24,11,93.63,"rock, pop"
Ashanti,Baby,265706,TRUE,2002,55,4,157.596,"hip hop, pop, R&B"
Sophie Ellis-Bextor,Murder On The Dancefloor,230013,FALSE,2002,62,1,117.31,"pop, Dance/Electronic"
Justin Timberlake,Like I Love You,283626,FALSE,2002,62,6,114.964,pop
Mary J. Blige,Rainy Dayz,276373,FALSE,2001,32,6,68.942,"pop, R&B"
A1,Caught in the Middle,206466,FALSE,2001,53,5,96.072,pop
Eminem,Cleanin' Out My Closet,297840,TRUE,2002,71,9,148.015,hip hop
Ashanti,Happy,262226,TRUE,2002,61,2,89.488,"hip hop, pop, R&B"
Delta Goodrem,Born to Try,251280,FALSE,2003,54,8,133.838,pop
P!nk,Get the Party Started,192533,FALSE,2001,68,11,128.93,pop
Alicia Keys,A Woman's Worth,303333,FALSE,2001,52,4,75.09,"pop, R&B"
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,161240,FALSE,2002,56,7,133.592,pop
Coldplay,Clocks,307879,FALSE,2002,79,5,130.97,"rock, pop"
Missy Elliott,Work It,263226,TRUE,2002,70,1,101.868,"hip hop, pop, R&B"
Ronan Keating,If Tomorrow Never Comes,214306,FALSE,2002,60,10,79.01,"pop, rock"
Big Tymers,Still Fly,335613,TRUE,2002,64,11,177.928,"hip hop, pop"
Creed,My Sacrifice,294600,FALSE,2001,69,2,146.349,"pop, rock, metal"
Ja Rule,Always On Time,245133,TRUE,2001,73,5,96.673,"hip hop, pop, R&B"
Ashanti,Foolish,227386,TRUE,2002,70,0,90.119,"hip hop, pop, R&B"
Avril Lavigne,Sk8er Boi,204000,FALSE,2002,75,0,149.937,pop
DJ Sammy,Heaven,233600,FALSE,2002,63,8,137.965,pop
Britney Spears,"I'm Not a Girl, Not Yet a Woman",231066,FALSE,2001,58,3,78.996,pop
Cam’ron,Oh Boy,204706,TRUE,2002,67,6,83.014,"hip hop, pop"
Red Hot Chili Peppers,By the Way,216933,FALSE,2002,73,0,122.444,rock
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,211506,FALSE,2002,60,4,114.999,"rock, easy listening"
Atomic Kitten,The Tide Is High - Radio Mix,206093,FALSE,2002,65,7,103.997,pop
*NSYNC,Girlfriend,253600,FALSE,2001,50,0,93.967,pop
Robbie Williams,Somethin' Stupid,170493,FALSE,2001,64,0,106.191,"pop, rock"
Alanis Morissette,Hands Clean,269400,FALSE,2002,57,7,99.952,"pop, Folk/Acoustic"
Usher,U Don't Have to Call,269400,TRUE,2001,59,1,100.005,"hip hop, pop, R&B"
Creed,One Last Breath - Radio Version,242000,FALSE,2015,47,2,130.581,"pop, rock, metal"
The Goo Goo Dolls,Here Is Gone,238173,FALSE,2002,56,1,102.192,"pop, rock"
Puddle Of Mudd,She Hates Me,216760,TRUE,2001,70,4,109.781,"rock, metal"
Ludacris,Rollout (My Business),296586,TRUE,2001,60,7,131.059,"hip hop, pop"
Blazin' Squad,Crossroads - Radio Edit,188693,FALSE,2012,40,4,144.188,"hip hop, rock, R&B"
Default,Wasting My Time,268693,FALSE,2001,40,2,147.973,"rock, pop, metal"
Michelle Branch,All You Wanted,217680,FALSE,2001,60,8,96.103,"pop, Folk/Acoustic"
Daniel Bedingfield,If You're Not The One,257026,FALSE,2002,58,10,119.998,pop
Enrique Iglesias,Escape,208626,FALSE,2001,56,11,125.972,"pop, latin"
Puddle Of Mudd,Blurry,303920,FALSE,2001,64,3,157.469,"rock, metal"
Coldplay,In My Place,226680,FALSE,2002,72,9,144.636,"rock, pop"
Outkast,The Whole World (feat. Killer Mike),295346,TRUE,2001,51,2,184.682,"hip hop, pop"
P!nk,Don't Let Me Get Me - Radio Edit,210693,FALSE,2001,60,0,98.525,pop
50 Cent,In Da Club,193466,TRUE,2003,81,6,90.051,"hip hop, pop"
Sean Paul,Get Busy,211666,FALSE,2002,74,10,100.202,"hip hop, pop"
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",322226,TRUE,2004,77,2,171.355,hip hop
Beyoncé,Crazy In Love (feat. Jay-Z),236133,FALSE,2003,76,2,99.165,"pop, R&B"
Counting Crows,Big Yellow Taxi,225426,FALSE,2003,50,8,88.029,"rock, pop"
Black Eyed Peas,Where Is The Love?,272533,FALSE,2003,68,5,94.059,"hip hop, pop"
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,187840,FALSE,2002,70,6,100,"hip hop, pop, R&B"
Black Eyed Peas,Shut Up,296186,FALSE,2003,56,2,112.968,"hip hop, pop"
t.A.T.u.,All The Things She Said,214440,TRUE,2020,39,5,179.92,pop
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,285570,FALSE,2003,66,11,130.017,"pop, Dance/Electronic"
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),324306,TRUE,2002,68,6,85.996,"hip hop, pop"
Panjabi MC,Mundian to Bach Ke,244666,FALSE,2003,61,8,98.077,"World/Traditional, hip hop"
Mis-Teeq,Scandalous - U.S. Radio Edit,238840,FALSE,2004,59,0,99.971,"pop, Dance/Electronic"
JAY-Z,03' Bonnie & Clyde,205560,TRUE,2002,71,9,89.64,hip hop
50 Cent,P.I.M.P.,249480,TRUE,2003,76,10,84.722,"hip hop, pop"
Jamelia,Superstar,215480,FALSE,2003,69,1,110.01,pop
Linkin Park,Faint,162600,FALSE,2003,72,4,135.095,"rock, metal"
DMX,X Gon' Give It To Ya,217586,TRUE,2007,70,10,95.027,"hip hop, pop"
Evanescence,Bring Me To Life,235893,FALSE,2003,79,4,94.612,metal
Sugababes,Hole In The Head,218173,FALSE,2003,57,6,125.011,"pop, R&B"
Craig David,Rise & Fall (feat. Sting),287226,FALSE,2002,59,6,83.373,"hip hop, pop, R&B"
Three Days Grace,I Hate Everything About You,231480,FALSE,2003,72,6,89.342,"rock, metal"
Lil Jon & The East Side Boyz,Get Low,324600,FALSE,2002,47,1,101.043,"hip hop, pop"
B2K,"Bump, Bump, Bump (feat. P. Diddy)",282773,FALSE,2003,62,1,95.508,"hip hop, pop, R&B"
Baby Bash,Suga Suga,239026,FALSE,2003,73,5,82.331,"hip hop, pop, R&B, latin"
Aaliyah,Miss You - Main,245240,FALSE,2002,36,10,109.598,"hip hop, pop, R&B"
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,223773,FALSE,2003,59,6,120.046,pop
Blue,Sorry Seems To Be The Hardest Word,210066,FALSE,2004,57,7,78.955,pop
Delta Goodrem,Lost Without You,248546,FALSE,2003,54,7,146.301,pop
Justin Timberlake,Rock Your Body,267266,FALSE,2002,76,4,100.972,pop
The White Stripes,Seven Nation Army,231920,FALSE,2003,3,4,123.904,"rock, blues"
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,298600,TRUE,2003,54,6,84.038,"hip hop, pop"
Beyoncé,Baby Boy (feat. Sean Paul),244826,FALSE,2003,63,1,91.025,"pop, R&B"
Lil' Kim,Magic Stick,359973,TRUE,2019,47,2,92.98,"hip hop, pop, R&B"
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),255266,FALSE,2002,61,8,98.989,pop
Nickelback,Someday,207466,FALSE,2003,68,11,163.118,"rock, metal"
Blue,U Make Me Wanna - Radio Edit,222400,FALSE,2003,48,7,158.108,pop
Ashanti,Rain On Me,297960,FALSE,2003,50,8,83.701,"hip hop, pop, R&B"
Trapt,Headstrong,285569,TRUE,2002,72,4,184.981,"rock, metal"
Simply Red,Sunrise,199040,FALSE,2008,58,5,105.987,"rock, R&B, Folk/Acoustic, pop"
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",184906,FALSE,2003,61,6,199.958,"pop, R&B"
Girls Aloud,Sound Of The Underground,221426,FALSE,2003,58,11,163.944,"pop, Dance/Electronic"
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,293666,FALSE,2016,52,1,87.025,"hip hop, pop, R&B"
Room 5,Make Luv,212413,FALSE,2003,57,1,124.814,Dance/Electronic
Fatman Scoop,Be Faithful,164506,TRUE,2009,49,7,101.129,hip hop
Limp Bizkit,Behind Blue Eyes,269973,FALSE,2003,70,7,120.315,metal
Sugababes,Too Lost In You,237693,FALSE,2003,58,1,98.014,"pop, R&B"
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",219400,TRUE,2003,57,1,81.008,"hip hop, pop"
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,236506,TRUE,2003,67,9,102.009,"hip hop, pop"
Chingy,Right Thurr,250746,TRUE,2003,69,2,92.074,"hip hop, pop, R&B"
Eminem,Sing For The Moment,339546,TRUE,2002,71,5,163.961,hip hop
Lil' Kim,The Jump Off (feat. Mr. Cheeks) - Remix,234800,TRUE,2003,48,1,104.946,"hip hop, pop, R&B"
Mýa,My Love Is Like...Wo - Main Mix,209533,FALSE,2003,48,4,132.817,"pop, R&B"
50 Cent,21 Questions,224440,TRUE,2003,72,6,92.729,"hip hop, pop"
Nelly,Air Force Ones,304000,TRUE,2002,61,4,164.062,"hip hop, pop, R&B"
Missy Elliott,Gossip Folks (feat. Ludacris),234893,TRUE,2002,57,0,121.732,"hip hop, pop, R&B"
Girls Aloud,Jump,220360,FALSE,2003,60,8,134.465,"pop, Dance/Electronic"
Ultrabeat,Pretty Green Eyes - Radio Edit,201920,FALSE,2003,59,1,139.993,"pop, Dance/Electronic"
Christina Aguilera,Fighter,245960,FALSE,2002,67,4,188.899,pop
Frankie J,Don't Wanna Try,245293,FALSE,2003,49,5,130.127,"hip hop, pop, R&B"
Snoop Dogg,Beautiful,299146,TRUE,2005,67,11,101.025,"hip hop, pop"
Floetry,Say Yes,268373,FALSE,2002,57,5,117.901,"hip hop, pop, R&B"
Ginuwine,In Those Jeans,243306,TRUE,2003,59,1,127.683,"hip hop, pop, R&B"
Electric Six,Danger! High Voltage - Soulchild Radio Mix,214600,FALSE,2003,0,11,123.005,rock
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,208386,FALSE,2003,38,2,130.036,"pop, Dance/Electronic"
Ludacris,Stand Up,213760,TRUE,2003,57,6,99.057,"hip hop, pop"
Nas,I Can,253720,FALSE,2002,58,6,95.313,hip hop
3 Doors Down,When I'm Gone,260333,FALSE,2002,67,7,148.095,"pop, rock, metal"
Tyrese,How You Gonna Act Like That,294693,FALSE,2002,60,3,112.913,"hip hop, pop, R&B"
Justin Timberlake,Cry Me a River,288333,FALSE,2002,73,8,73.898,pop
Westlife,Mandy,199320,FALSE,2003,57,5,105.678,pop
No Doubt,It's My Life,226053,FALSE,2003,60,8,126.326,"rock, pop"
Amanda Perez,Angel,218760,FALSE,2003,48,0,143.772,"pop, R&B"
JAY-Z,Excuse Me Miss,281240,TRUE,2002,56,6,92.849,hip hop
Coldplay,Clocks,307879,FALSE,2002,79,5,130.97,"rock, pop"
Kelly Rowland,Stole,249293,FALSE,2002,54,7,79.993,"hip hop, pop, R&B"
Missy Elliott,Work It,263226,TRUE,2002,70,1,101.868,"hip hop, pop, R&B"
Ashanti,Rock Wit U (Awww Baby),209120,FALSE,2003,65,4,94.998,"hip hop, pop, R&B"
Junior Senior,Move Your Feet,181826,FALSE,2002,67,9,118.877,pop
Audioslave,Like a Stone,293960,FALSE,2002,75,7,107.849,"rock, metal"
Sean Paul,Like Glue,232506,FALSE,2002,61,1,97.917,"hip hop, pop"
Jaheim,Put That Woman First,245773,TRUE,2002,55,5,78.935,"pop, R&B"
Jennifer Lopez,All I Have (feat. LL Cool J),254466,FALSE,2002,60,1,83.066,"hip hop, pop, R&B"
Monica,So Gone,242773,FALSE,2003,64,8,81.975,"pop, R&B"
Dido,White Flag,240040,FALSE,2003,44,5,169.951,pop
The Roots,The Seed (2.0),267933,TRUE,2002,63,7,111.121,hip hop
Chingy,Holidae In,314400,TRUE,2003,61,7,153.067,"hip hop, pop, R&B"
Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo),223973,TRUE,2003,61,9,192.082,"hip hop, pop, R&B"
Kelly Clarkson,Miss Independent,214773,FALSE,2003,47,11,175.943,"pop, R&B"
Ja Rule,Mesmerize,278693,TRUE,2002,61,1,90.079,"hip hop, pop, R&B"
Matchbox Twenty,Unwell,228706,FALSE,2002,63,6,80.718,"pop, rock"
Outkast,The Way You Move (feat. Sleepy Brown),234000,TRUE,2003,66,5,125.999,"hip hop, pop"
Fabolous,Into You (feat. Tamia),295773,TRUE,2003,67,7,182.12,"hip hop, pop, R&B"
Switchfoot,Meant to Live,201373,FALSE,2003,61,2,151.551,"rock, pop"
Daniel Bedingfield,If You're Not The One,257026,FALSE,2002,58,10,119.998,pop
Good Charlotte,Lifestyles of the Rich & Famous,190173,FALSE,2002,68,1,106.22,"rock, metal"
Wayne Wonder,No Letting Go,202013,FALSE,2003,63,5,100.215,"hip hop, R&B"
The Strokes,Reptilia,219826,FALSE,2003,74,9,158.009,rock
Avril Lavigne,I'm with You,223066,FALSE,2002,70,9,151.95,pop
Will Young,Leave Right Now,214733,FALSE,2003,55,6,81.931,pop
Usher,Yeah! (feat. Lil Jon & Ludacris),250373,FALSE,2004,81,2,105.018,"hip hop, pop, R&B"
Maroon 5,This Love,206200,FALSE,2002,77,5,95.051,pop
Britney Spears,Toxic,198800,FALSE,2003,81,5,143.04,pop
Outkast,Hey Ya!,235213,FALSE,2003,80,4,79.526,"hip hop, pop"
Hoobastank,The Reason,232800,FALSE,2003,79,4,82.952,"pop, rock, metal"
Anastacia,Left Outside Alone,257426,FALSE,2004,65,2,102.847,pop
Daddy Yankee,Gasolina,192600,FALSE,2004,11,0,96.009,latin
Black Eyed Peas,Let's Get It Started - Spike Mix,217733,FALSE,2004,53,11,104.923,"hip hop, pop"
O-Zone,Dragostea Din Tei,215431,FALSE,2004,56,0,130.103,pop
Terror Squad,Lean Back,247426,TRUE,2004,67,1,95.321,hip hop
Anastacia,Sick and Tired,212266,FALSE,1999,56,0,99.848,pop
Gwen Stefani,What You Waiting For?,221226,FALSE,2004,60,5,136.027,"pop, R&B"
Ashanti,Only U - No Intro,186306,FALSE,2004,56,6,94.547,"hip hop, pop, R&B"
The Rasmus,In the Shadows,257920,FALSE,2003,68,2,105.991,metal
Houston,I Like That,236520,FALSE,2004,59,10,106.997,"hip hop, pop"
Beyoncé,Naughty Girl,208600,FALSE,2003,63,6,99.973,"pop, R&B"
Linkin Park,Numb,185586,FALSE,2003,81,9,110.018,"rock, metal"
Lloyd Banks,On Fire,187280,TRUE,2004,61,8,94.857,"hip hop, pop"
Akon,Locked Up,235066,TRUE,2004,16,7,89.987,pop
D12,My Band,298773,TRUE,2004,73,1,120.014,"hip hop, pop, rock"
Jay Sean,Eyes On You - Radio Mix,190493,FALSE,2004,42,7,96.525,"hip hop, pop, R&B"
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,257333,FALSE,2016,66,11,97.007,pop
Destiny's Child,Lose My Breath,242013,FALSE,2004,61,1,119.011,"pop, R&B"
Eric Prydz,Call on Me - Radio Mix,171360,FALSE,2004,72,10,126.342,"pop, Dance/Electronic"
Ciara,Goodies (feat. Petey Pablo),223000,FALSE,2004,67,5,102.017,"pop, R&B"
Kelis,Trick Me,206106,TRUE,2003,63,1,107.17,"pop, R&B, Dance/Electronic"
LL Cool J,Headsprung,267320,FALSE,2004,56,0,99.916,"hip hop, pop, R&B"
Spiderbait,Black Betty - Edit,205973,FALSE,2004,63,7,124.047,rock
George Michael,Amazing,265826,FALSE,2004,57,10,128.429,pop
Britney Spears,My Prerogative,213893,FALSE,2004,53,10,111.014,pop
Nina Sky,Move Ya Body,232000,FALSE,2004,67,11,121.057,"pop, R&B"
Baby Bash,Suga Suga,239026,FALSE,2003,73,5,82.331,"hip hop, pop, R&B, latin"
Petey Pablo,Freek-A-Leek,235186,TRUE,2003,56,2,104.917,"hip hop, pop"
JAY-Z,Dirt Off Your Shoulder,245173,TRUE,2003,53,1,163.971,hip hop
Juanes,La Camisa Negra,216706,FALSE,2004,70,6,97.007,"pop, latin"
Avril Lavigne,Nobody's Home,212413,FALSE,2004,61,5,185.406,pop
Robbie Williams,Radio,233600,FALSE,2004,33,5,130.015,"pop, rock"
Black Eyed Peas,Hey Mama,214893,TRUE,2003,49,4,100.15,"hip hop, pop"
Ying Yang Twins,Salt Shaker,252440,TRUE,2003,61,11,101.965,"hip hop, pop"
Enrique Iglesias,Not In Love - Radio Mix,223133,FALSE,2003,37,0,117.021,"pop, latin"
Kelis,Milkshake,182626,FALSE,2003,68,1,112.968,"pop, R&B, Dance/Electronic"
Linkin Park,Breaking the Habit,196906,FALSE,2003,68,4,100.021,"rock, metal"
JoJo,Leave (Get Out) - Radio Edit,242746,FALSE,2005,49,5,86.891,"hip hop, pop, R&B"
Christina Milian,Dip It Low,197186,FALSE,2004,45,11,169.131,"hip hop, pop, R&B"
Avant,Read Your Mind,263506,FALSE,2003,56,8,73.108,"pop, R&B"
Eminem,Just Lose It,248680,TRUE,2004,67,8,121.003,hip hop
Sugababes,Too Lost In You,237693,FALSE,2003,58,1,98.014,"pop, R&B"
Snoop Dogg,Drop It Like It's Hot,266066,TRUE,2004,39,1,92.063,"hip hop, pop"
Sean Paul,I'm Still in Love with You (feat. Sasha),273360,FALSE,2002,68,7,87.002,"hip hop, pop"
The Shapeshifters,Lola's Theme - Radio Edit,207066,FALSE,2004,65,5,123.925,Dance/Electronic
D12,How Come,249533,TRUE,2004,57,9,89.983,"hip hop, pop, rock"
Basement Jaxx,Good Luck,282306,FALSE,2003,0,5,154.07,"pop, Dance/Electronic"
Kevin Lyttle,Turn Me On,192106,FALSE,2004,67,9,106.279,hip hop
Chingy,One Call Away,276800,FALSE,2003,61,4,162.519,"hip hop, pop, R&B"
T.I.,Bring Em Out,216706,TRUE,2004,63,11,98.579,"hip hop, pop"
DJ Casper,Cha Cha Slide - Hardino Mix,222146,FALSE,2004,51,11,131.012,hip hop
Kylie Minogue,I Believe in You,200973,FALSE,2004,47,7,120.939,"pop, Dance/Electronic"
Twista,Overnight Celebrity,233360,TRUE,2004,66,10,134.199,"hip hop, pop, R&B"
N.E.R.D,She Wants To Move,213786,FALSE,2004,57,5,115.012,hip hop
Britney Spears,Everytime,230306,FALSE,2003,63,3,109.599,pop
U2,Vertigo,193520,FALSE,2004,64,9,140.083,"World/Traditional, rock"
Franz Ferdinand,Take Me Out,237026,FALSE,2004,77,4,104.561,rock
J-Kwon,Tipsy - Club Mix,247106,TRUE,2001,59,9,93.04,"hip hop, pop"
G-Unit,Wanna Get To Know You,265026,TRUE,2003,61,10,76.91,"hip hop, pop"
Lil' Flip,Sunshine (feat. Lea),225173,TRUE,2004,42,0,93.961,"hip hop, pop"
Kanye West,Jesus Walks,193733,TRUE,2004,73,3,87.312,hip hop
Evanescence,My Immortal,262533,FALSE,2003,72,9,79.012,metal
Nelly,My Place,336506,TRUE,2004,57,1,163.153,"hip hop, pop, R&B"
Lemar,If There's Any Justice,229080,FALSE,2004,46,6,89.993,R&B
No Doubt,It's My Life,226053,FALSE,2003,60,8,126.326,"rock, pop"
Avril Lavigne,Don't Tell Me,202013,FALSE,2004,58,4,144.106,pop
Twista,Slow Jamz,316053,TRUE,2004,72,2,145.115,"hip hop, pop, R&B"
Green Day,American Idiot,176346,TRUE,2004,77,1,186.113,rock
Kelis,Millionaire,224933,FALSE,2003,57,11,176.051,"pop, R&B, Dance/Electronic"
Scissor Sisters,Comfortably Numb,266040,FALSE,2004,43,7,116.972,"pop, rock, Dance/Electronic"
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),284160,FALSE,2003,55,8,127.932,"pop, R&B"
Kanye West,Through The Wire,221226,TRUE,2004,76,7,83.089,hip hop
Special D.,Come With Me - Radio Edit,185133,FALSE,2004,61,7,139.982,pop
Ludacris,Splash Waterfalls,290760,TRUE,2003,48,11,145.894,"hip hop, pop"
Avril Lavigne,My Happy Ending,242413,TRUE,2004,68,2,170.229,pop
Dido,White Flag,240040,FALSE,2003,44,5,169.951,pop
Eamon,Fuck It (I Don't Want You Back),225106,TRUE,2004,64,0,68.507,"R&B, pop"
Beyoncé,"Me, Myself and I",301133,FALSE,2003,62,1,83.61,"pop, R&B"
3 Doors Down,Here Without You,238733,FALSE,2002,74,10,143.994,"pop, rock, metal"
Kanye West,All Falls Down,223506,TRUE,2004,80,8,91.03,hip hop
Twista,Sunshine (feat. Anthony Hamilton),226013,TRUE,2004,56,11,98.523,"hip hop, pop, R&B"
Katie Melua,The Closest Thing to Crazy,252466,FALSE,2003,55,4,127.831,"pop, easy listening, jazz"
Usher,My Boo,223440,FALSE,2004,76,5,86.412,"hip hop, pop, R&B"
Lloyd,Southside,277840,FALSE,2004,59,9,75.007,"hip hop, pop, R&B"
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,171546,FALSE,2004,59,6,128.658,Dance/Electronic
The Streets,Fit but You Know It,254266,TRUE,2004,58,6,172.302,"hip hop, Dance/Electronic"
JUVENILE,Slow Motion,248200,TRUE,2003,64,0,172.872,"hip hop, pop"
Outkast,The Way You Move (feat. Sleepy Brown),234000,TRUE,2003,66,5,125.999,"hip hop, pop"
Girls Aloud,Love Machine,205360,FALSE,2004,59,7,116.02,"pop, Dance/Electronic"
Jessica Simpson,With You,191826,FALSE,2003,57,0,94.487,"pop, R&B"
Eminem,Like Toy Soldiers,296880,TRUE,2004,48,8,79.178,hip hop
Gary Jules,Mad World (Feat. Michael Andrews),189506,FALSE,2001,65,3,174.117,pop
Ashlee Simpson,Pieces Of Me,217440,FALSE,2004,56,2,174.001,pop
Will Young,Leave Right Now,214733,FALSE,2003,55,6,81.931,pop